CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
262,Metabolite,gallotannin metabolites,"3,5-dihydroxy-4-methoxybenzoic acid",4-O-Methylgallic acid,"3,5-dihydroxy-4-methoxybenzoic acid","3,5-dihydroxy-4-methoxybenzoic acid",UBXDWYFLYYJQFR-UHFFFAOYSA-N,UBXDWYFLYYJQFR-UHFFFAOYSA-N,184.037173,C8H8O5,C8H8O5,184.15,184.15,4319-02-2,4319-02-2,Commercial,HMDB0013198,HMDB0013198,78016,78016,CP03
214,fed/metabolite,catecholamine,epinephrine,N/A,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol","4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",UCTWMZQNUQWSLP-VIFPVBQESA-N,UCTWMZQNUQWSLP-VIFPVBQESA-N,183.0895433,C9H13NO3,C9H13NO3,183.2044,183.2044,51-43-4,51-43-4,Commercial,HMDB0000068,HMDB0000068,5816,5816,CP1
348,metabolite,nicotinic acid,2- hydroxynicotinic acid,Hydroxynicotinic acid,2-oxo-1H-pyridine-3-carboxylic acid,2-oxo-1H-pyridine-3-carboxylic acid,UEYQJQVBUVAELZ-UHFFFAOYSA-N,UEYQJQVBUVAELZ-UHFFFAOYSA-N,139.026943,C6H5NO3,C6H5NO3,139.11,139.11,609-71-2,609-71-2,commercial,HMDB0059710,HMDB0059710,69114,69114,CP1
114,metabolite,benzoic acid,"2,4-dihydroxybenzoic acid   ",β-Resorcylic acid,"2,4-dihydroxybenzoic acid","2,4-dihydroxybenzoic acid",UIAFKZKHHVMJGS-UHFFFAOYSA-N,UIAFKZKHHVMJGS-UHFFFAOYSA-N,154.0266087,C7H6O4,C7H6O4,154.12,154.12,89-86-1,89-86-1,Commercial,HMDB0029666,HMDB0029666,1491,1491,CP1
24,Diet/Food,lignan,7-hydroxymatairesinol,N/A,"(3R,4R)-4-[(S)-hydroxy-(4-hydroxy-3-methoxyphenyl)methyl]-3-[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one ","(3R,4R)-4-[(S)-hydroxy-(4-hydroxy-3-methoxyphenyl)methyl]-3-[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one ",UKHWOLNMBQSCLJ-BIENJYKASA-N,UKHWOLNMBQSCLJ-BIENJYKASA-N,374.136553,C20H22O7,C20H22O7,374.4,374.4,347359-71-1,347359-71-1,Not Established,N/A,N/A,10948757,10948757,CP2
97,Fed,Flavans,taxifolin-3-O-D-xyloside,taxifolin-3-O-xylopyranoside,"(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxy-2,3-dihydrochromen-4-one","(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxy-2,3-dihydrochromen-4-one",UKSPRKDZNYSFRL-ARLBNVOWSA-N,UKSPRKDZNYSFRL-ARLBNVOWSA-N,436.100561,C20H20O11,C20H20O11,436.4,436.4,40672-47-7,40672-47-7,Commercial,N/A,N/A,493319,493319,CP03
413,metabolite,phenylpropanoic acid,3-(3-methoxyphenyl)propanoic acid-4-sulfate,Dihydro Ferulic Acid 4-O-Sulfate Sodium Salt  ; 3-(3-methoxyphenyl)propanoic acid-4-sulfate sodium salt; 3-(4-hydroxy-3-methoxyphenyl)propanoic acid-4-sulfate sodium salt  ,"disodium;(E)-3-(5-methoxy-4-sulfonatooxycyclohexa-2,4-dien-1-yl)prop-2-enoate",3-(3-methoxy-4-sulfooxyphenyl)propanoic acid,HLXIQKAGJYHUGH-RQCPZROWSA-L,UMCDODPBPQMWQP-UHFFFAOYSA-N,276.030374,C₁₀H₁₀Na₂O₇S,C10H12O7S,320.23,276.26,86321-33-7,NA,synthetic,HMDB0041724,HMDB0041724,131698751,187489,CP1
334,metabolite,hydroxytoluene,1-methoxybenzene-2-O-glucuronide,o-Cresol β-D-Glucuronide; 2-hydroxy-1-methylbenzene-2-O-Glucuronide; Toluene-2-D-Glucuronide; Tol-2-Dglca; 1-OCH-Bz-2-OGlcA,"(3R,4R,5R,6R)-3,4,5-trihydroxy-6-(2-methylphenoxy)oxane-2-carboxylic acid","(3R,4R,5R,6R)-3,4,5-trihydroxy-6-(2-methylphenoxy)oxane-2-carboxylic acid",UPSZSICMSBXXRN-YWNZWZMFSA-N,UPSZSICMSBXXRN-YWNZWZMFSA-N,284.089603,C₁₃H₁₆O₇,C₁₃H₁₆O₇,284.26,284.26,111897-99-5,111897-99-5,synthetic,N/A,N/A,46781078,46781078,CP1
50,Genistein Metabolite,Genistein Metabolite,dihydrogenistein,"4',5,7-Trihydroxyisoflavanone","5,7-dihydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one ","5,7-dihydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one ",UQGVUYNHDKMLSE-UHFFFAOYSA-N ,UQGVUYNHDKMLSE-UHFFFAOYSA-N ,272.068473,C15H12O5,C15H12O5,272.25,272.25,21554-71-2,21554-71-2,Not Established,HMDB0005897,HMDB0005897,9838356 ,9838356 ,CP2
198,Metabolite,apigenin metabolites,Apigenin-7-O-sulfate,Apigenin 7-sulfate,[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl] hydrogen sulfate,[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl] hydrogen sulfate,UQUHXFINOFUDCC-UHFFFAOYSA-N ,UQUHXFINOFUDCC-UHFFFAOYSA-N,350.009638,C15H10O8S,C15H10O8S,350.3,350.3,56857-56-8,56857-56-8,Commercial,HMDB0037851,HMDB0037851,14016776,14016776,CP03
46,Fed,Glyceride,"1,2-diacylglycerol",Glyceryl diacetate,(2-acetyloxy-3-hydroxypropyl) acetate,(2-acetyloxy-3-hydroxypropyl) acetate,UXDDRFCJKNROTO-UHFFFAOYSA-N,UXDDRFCJKNROTO-UHFFFAOYSA-N,176.068473,C7H12O5,C7H12O5,176.17,176.17,102-62-5,102-62-5,data not pulled from DB,HMDB0031712,HMDB0031712,66021,66021,CP05
64,Daidzein Metabolite,Daidzein Metabolite,equol-4-sulfate,Equol 4'-sulfate,"[4-[(3S)-7-hydroxy-3,4-dihydro-2H-chromen-3-yl]phenyl] sulfate","[4-[(3S)-7-hydroxy-3,4-dihydro-2H-chromen-3-yl]phenyl] sulfate",UXOJWGSGKUYMIA-GFCCVEGCSA-M,UXOJWGSGKUYMIA-GFCCVEGCSA-M,321.043284,C15H13O6S-,C15H13O6S-,321.3,321.3,No CAS,No CAS,Not Established,HMDB0240515,HMDB0240515,29979373 ,29979373 ,CP2
137,metabolite,benzoic acid,"3,5-dihydroxybenzoic acid   ",α-Resorcylic Acid,"3,5-dihydroxybenzoic acid","3,5-dihydroxybenzoic acid",UYEMGAFJOZZIFP-UHFFFAOYSA-N,UYEMGAFJOZZIFP-UHFFFAOYSA-N,154.026609,C7H6O4,C7H6O4,154.1201,154.1201,99-10-5,99-10-5,Commercial,HMDB0013677,HMDB0013677,7424,7424,CP1
274,metabolite,flavan-3-ol,(−)-epicatechin-3′-sulfate,Epicatechin-3'-sulfate,"[2-hydroxy-5-[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]phenyl] hydrogen sulfate","[2-hydroxy-5-[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]phenyl] hydrogen sulfate",VBSMBNMUYITMLB-IUODEOHRSA-N,VBSMBNMUYITMLB-IUODEOHRSA-N,370.035853,C15H14O9S,C15H14O9S,370.33,370.33, 1038922-77-8, 1038922-77-8,synthetic,HMDB0127729,HMDB0127729,71260094,71260094,CP1
16,metabolite,anthocyanin,cyanidin,"cyanidol, cyanidin chloride","2-(3,4-dihydroxyphenyl)chromenylium-3,5,7-triol;chloride","2-(3,4-dihydroxyphenyl)chromenylium-3,5,7-triol",COAWNPJQKJEHPG-UHFFFAOYSA-N,VEVZSMAEJFVWIL-UHFFFAOYSA-O,287.055563,C15H11ClO6,C15H11O6+,322.69 ,287.25,528-58-5,NA,commercial,HMDB0002708,HMDB0002708,68247,128861,CP1
320,metabolite,gallate,ethyl gallate   ,"ethyl 3,4,5-trihydroxybenzoate","ethyl 3,4,5-trihydroxybenzoate","ethyl 3,4,5-trihydroxybenzoate",VFPFQHQNJCMNBZ-UHFFFAOYSA-N,VFPFQHQNJCMNBZ-UHFFFAOYSA-N,198.0528234,C9H10O5,C9H10O5,198.174,198.174,831-61-8,831-61-8,commercial,HMDB0033836,HMDB0033836,13250,13250,CP1
67,metabolite,benzaldehyde,"3,5-dimethoxybenzaldehyde   ","Benzaldehyde, 3,5-dimethoxy-; 3,5-dimethoxy-benzaldehyde","3,5-dimethoxybenzaldehyde","3,5-dimethoxybenzaldehyde",VFZRZRDOXPRTSC-UHFFFAOYSA-N,VFZRZRDOXPRTSC-UHFFFAOYSA-N,166.062994,C9H10O3,C9H10O3,166.176,166.176,7311-34-4,7311-34-4,commercial,HMDB0062348,HMDB0062348,81747,81747,CP1
88,Fed,flavan-3-ol,(+)-catechin-7-O-glucoside,Catechin 7-O-beta-D-xyloside,"2-[[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-3,4-dihydro-2H-chromen-7-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","2-[[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-3,4-dihydro-2H-chromen-7-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",VLFIBROLAXKPQK-UHFFFAOYSA-N ,VLFIBROLAXKPQK-UHFFFAOYSA-N ,452.131862,C21H24O11,C21H24O11,452.4,452.4,65597-47-9,65597-47-9,Commercial,HMDB0037949,HMDB0037949,14282767,14282767,CP03
314,Metabolite,coumarin metbolites,dihydrocoumarin (DHC),"3,4-dihydrocoumarin; 3,4-Dihydro-2H-1-benzopyran-2-one","3,4-dihydrochromen-2-one","3,4-dihydrochromen-2-one",VMUXSMXIQBNMGZ-UHFFFAOYSA-N,VMUXSMXIQBNMGZ-UHFFFAOYSA-N,148.0524295,C9H8O2,C9H8O2,148.1586,148.1586,119-84-6,119-84-6,Commercial,HMDB0036626,HMDB0036626,660,660,CP03
203,Metabolite,myricetin metabolites,Myricetin-7-O-glucuronide,Myricetin 7-O-Glucuronide,"(2S,3S,4S,5R,6S)-6-[3,5-dihydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[3,5-dihydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",VNDJCGMKSHKEIZ-JENRNSKYSA-N,VNDJCGMKSHKEIZ-JENRNSKYSA-N,494.069655,C21H18O14,C21H18O14,494.4,494.4,No CAS,No CAS,Commercial,N/A,N/A,72551434  ,72551434  ,CP03
1,Phytoestrogen metabolite,Phytoestrogen metabolite,Estradiol ,17 beta-Estradiol,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",VOXZDWNPVJITMN-ZBRFXRBCSA-N,VOXZDWNPVJITMN-ZBRFXRBCSA-N,272.17763,C18H24O2,C18H24O2,272.4,272.4,50-28-2,50-28-2,Not Established,HMDB0000151,HMDB0000151,5757,5757,CP2
180,Metabolite,Kaempferol metabolites,Kaempferol-3-sulfate,Kaempferol 3-sulfate,"[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl] hydrogen sulfate","[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl] hydrogen sulfate",VOYLAWHADGDBIE-UHFFFAOYSA-N,VOYLAWHADGDBIE-UHFFFAOYSA-N,366.004553076,C15H10O9S,C15H10O9S,366.3,366.3,No CAS,No CAS,Commercial,HMDB0240539,HMDB0240539,44259052 ,44259052 ,CP03
45,Estradiol Metabolites,Estradiol Metabolites,"Estradiol 3,17-disulfate"," 17-Beta-Estradiol-3,17-beta-sulfate","[(8R,9S,13S,14S,17S)-13-methyl-3-sulfooxy-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl] hydrogen sulfate ","[(8R,9S,13S,14S,17S)-13-methyl-3-sulfooxy-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl] hydrogen sulfate ",VPLAJGAMHNQZIY-ZBRFXRBCSA-N,VPLAJGAMHNQZIY-ZBRFXRBCSA-N,432.09126,C18H24O8S2,C18H24O8S2,432.5,432.5,3233-70-3,3233-70-3,Not Established,HMDB0041620,HMDB0041620,66430 ,66430 ,CP2
46,Estradiol Metabolites,Estradiol Metabolites,17-beta-estradiol 3-sulfate-17-O-glucuronide,17-beta-estradiol 3-sulfate-17-(beta-D-glucuronide),"(2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[[(8R,9S,13S,14S,17S)-13-methyl-3-sulfooxy-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]oxy]oxane-2-carboxylic acid ","(2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[[(8R,9S,13S,14S,17S)-13-methyl-3-sulfooxy-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]oxy]oxane-2-carboxylic acid ",VRMSCBRLZUCJBX-QXYWQCSFSA-N,VRMSCBRLZUCJBX-QXYWQCSFSA-N,528.166533,C24H32O11S,C24H32O11S,528.6,528.6,No CAS,No CAS,Not Established,HMDB0010358,HMDB0010358,5281895 ,5281895 ,CP2
218,Metabolite,benzoic acid metabolites,4-methoxybenzoic acid-3-sulfate,Isovanillic acid-3-sulfate,4-methoxy-3-sulfooxybenzoic acid,4-methoxy-3-sulfooxybenzoic acid,VSFFJSSUGMYRMP-UHFFFAOYSA-N,VSFFJSSUGMYRMP-UHFFFAOYSA-N,247.9990738,C8H8O7S,C8H8O7S,248.21,248.21,No CAS,No CAS,Commercial,HMDB0140929,HMDB0140929,131839509,131839509,CP03
210,Metabolite,luteolin metabolites,Luteolin-7-O-glucuronide,Luteolin 7-glucuronide,"(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",VSUOKLTVXQRUSG-ZFORQUDYSA-N ,VSUOKLTVXQRUSG-ZFORQUDYSA-N,462.079826,C21H18O12,C21H18O12,462.4,462.4,29741-10-4,29741-10-4,Commercial,HMDB0240541,HMDB0240541,5280601,5280601,CP03
169,Metabolite,isoflavone metabolite,"Daidzein-4,7-O-diglucoside","Daidzein 4',7-diglucoside","7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one","7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one",VWEWSCDQMVNOJP-IPOZFMEPSA-N,VWEWSCDQMVNOJP-IPOZFMEPSA-N,578.163556,C27H30O14,C27H30O14,578.5,578.5,53681-67-7,53681-67-7,Commercial,HMDB0033992,HMDB0033992,171292,171292,CP04
237,Metabolite,cinnamic acid metabolites,4-hydroxycinnamic acid-3-sulfate,Caffeic acid 3-O-sulfate,(E)-3-(4-hydroxy-3-sulfooxyphenyl)prop-2-enoic acid,(E)-3-(4-hydroxy-3-sulfooxyphenyl)prop-2-enoic acid,VWQNTRNACRFUCQ-DUXPYHPUSA-N,VWQNTRNACRFUCQ-DUXPYHPUSA-N,259.999074,C9H8O7S,C9H8O7S,260.22,260.22,151481-52-6,151481-52-6,Commercial,HMDB0041706,HMDB0041706,102261219  ,102261219  ,CP03
303,Metabolite,coumarin metbolites,4-hydroxycoumarin,4-hydroxycoumarin;  4-hydroxy-2H-chromen-2-one,4-hydroxychromen-2-one,4-hydroxychromen-2-one,VXIXUWQIVKSKSA-UHFFFAOYSA-N,VXIXUWQIVKSKSA-UHFFFAOYSA-N,162.031694,C9H10O2,C9H10O2,162.14,162.14,1076-38-6,1076-38-6,Commercial,HMDB0137904,HMDB0137904,54682930 ,54682930 ,CP03
210,fed/metabolite,catecholamine,dopamine,Dopamine Hydrochloride,"4-(2-aminoethyl)benzene-1,2-diol;hydrochloride","4-(2-aminoethyl)benzene-1,2-diol",CTENFNNZBMHDDG-UHFFFAOYSA-N,VYFYYTLLBUKUHU-UHFFFAOYSA-N,153.079,C8H12ClNO2,C8H11NO2,189.64,153.18,62-31-7,51-61-6,Commercial,NA,HMDB0000073,65340,681,CP1
456,metabolite,valerolactone,5-(3'-hydroxyphenyl)-gamma-valerolactone,M7Valerolactone; M7Val; 5-[(3-hydroxyphenyl)methyl]oxolan-2-one; 5-(Hydroxyphenyl)-gamma-valerolactone,5-[(3-hydroxyphenyl)methyl]oxolan-2-one,5-[(3-hydroxyphenyl)methyl]oxolan-2-one,VYWFHBSBNKNWSB-UHFFFAOYSA-N,VYWFHBSBNKNWSB-UHFFFAOYSA-N,192.078644,C11H12O3,C11H12O3,192.214,192.214,21618-91-7,21618-91-7,commercial,NA,NA,3028409,3028409,CP1
455,metabolite,valerolactone,5-(3’-hydroxyphenyl)-gamma-valerolactone-4’-sulfate ,"3-hydroxyphenyl-gamma-valerolactone-4-sulfate; 3-OH-phenyl-Val-4-Sulf; M7 Val-Sulf; DHPV O-sulfate; (4R)-5-(3’,4’-Dihydroxyphenyl)-γ-valerolactone-4’-O-sulfate Sodium Salt; (4R)-5-(3’-hydroxyphenyl)-γ-valerolactone-4’-sulfate; (4R)-5-(3’-hydroxyphenyl)-gamma-valerolactone-4’-sulfate; 5-(Hydroxyphenyl)-gamma-valerolactone-O-sulphate; 5-(Hydroxyphenyl)-gamma-valerolactone-O-sulphate; 5'-(3',4'-Dihydroxyphenyl)-gamma-valerolactone sulfate;5-(3-hydroxyphenyl)-gamma-valerolactone-4-sulfate ",[2-hydroxy-4-[(5-oxooxolan-2-yl)methyl]phenyl] hydrogen sulfate,[2-hydroxy-4-[(5-oxooxolan-2-yl)methyl]phenyl] hydrogen sulfate,WAXYAOJFDCCESK-UHFFFAOYSA-N,WAXYAOJFDCCESK-UHFFFAOYSA-N,288.030374,C11H12O7S,C11H12O7S,288.28,288.28,No CAS,No CAS,synthetic,HMDB0240473,HMDB0240473,101913834,101913834,CP1
71,metabolite,benzaldehyde,4-hydroxy-2-methoxybenzaldehyde   ,"4-Hydroxy-o-anisaldehyde; Benzaldehyde, 4-hydroxy-2-methoxy-; 4-Hydroxyl-2-methoxyl benzaldehyde",4-hydroxy-2-methoxybenzaldehyde,4-hydroxy-2-methoxybenzaldehyde,WBIZZNFQJPOKDK-UHFFFAOYSA-N,WBIZZNFQJPOKDK-UHFFFAOYSA-N,152.047344,C8H8O3,C8H8O3,152.15,152.15,18278-34-7,18278-34-7,commercial,N/A,N/A,519541,519541,CP1
259,fed/metabolite,Cinnamic acid,trans-cinnamic acid,CINNAMIC ACID,(E)-3-phenylprop-2-enoic acid,(E)-3-phenylprop-2-enoic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,WBYWAXJHAXSJNI-VOTSOKGWSA-N,148.0524295,C9H8O2,C9H8O2,148.161,148.161,140-10-3,140-10-3,Commercial,HMDB0000930,HMDB0000930,444539,444539,CP1
104,Fed,Triterpenoids,ursolic acid,Malol; Prunol; Urson,"(1S,2R,4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid","(1S,2R,4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",WCGUUGGRBIKTOS-GPOJBZKASA-N,WCGUUGGRBIKTOS-GPOJBZKASA-N,456.360345,C30H48O3,C30H48O3,456.7,456.7,77-52-1,77-52-1,Commercial,HMDB0002395,HMDB0002395,64945,64945,CP03
208,Metabolite,luteolin metabolites,"Luteolin-7,3-disulfate","Luteolin 7,3'-Disulfate",[2-hydroxy-5-(5-hydroxy-4-oxo-7-sulfooxychromen-2-yl)phenyl] hydrogen sulfate,[2-hydroxy-5-(5-hydroxy-4-oxo-7-sulfooxychromen-2-yl)phenyl] hydrogen sulfate,WFETZDMFLGONLW-UHFFFAOYSA-N,WFETZDMFLGONLW-UHFFFAOYSA-N,445.961368,C15H10O12S2,C15H10O12S2,446.4,446.4,No CAS,No CAS,Commercial,N/A,N/A,44258153  ,44258153  ,CP03
33,Estradiol Metabolites,Estradiol Metabolites,2-methoxyestrone,Methoxy-estrone,"(8R,9S,13S,14S)-3-hydroxy-2-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one","(8R,9S,13S,14S)-3-hydroxy-2-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",WHEUWNKSCXYKBU-QPWUGHHJSA-N ,WHEUWNKSCXYKBU-QPWUGHHJSA-N ,300.172545,C19H24O3,C19H24O3,300.4,300.4,362-08-3,362-08-3,Not Established,HMDB0000010,HMDB0000010,440624 ,440624 ,CP2
64,metabolite,benzaldehyde,"3,4-dimethoxybenzaldehyde",protocatechuic aldehyde,"3,4-dimethoxybenzaldehyde","3,4-dimethoxybenzaldehyde",WJUFSDZVCOTFON-UHFFFAOYSA-N,WJUFSDZVCOTFON-UHFFFAOYSA-N,166.0629942,C9H10O3,C9H10O3,166.18,166.18,120-14-9,120-14-9,Commercial,HMDB0032138,HMDB0032138,8419,8419,CP1
486,fed/metabolite,benzoic acid,4-hydroxy-3-methoxybenzoic acid,p-Vanillic acid; vanillic acid,4-hydroxy-3-methoxybenzoic acid,4-hydroxy-3-methoxybenzoic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,WKOLLVMJNQIZCI-UHFFFAOYSA-N,168.0422587,C8H8O4,C8H8O4,168.1467,168.1467,121-34-6,121-34-6,Commercial,HMDB0000484,HMDB0000484,8468,8468,CP1
393,metabolite,phenylacetic acid,phenylacetic acid   ,benzeneacetic acid; 2-phenylacetic acid,2-phenylacetic acid,2-phenylacetic acid,WLJVXDMOQOGPHL-UHFFFAOYSA-N,WLJVXDMOQOGPHL-UHFFFAOYSA-N,136.0524295,C8H8O2,C8H8O2,136.15,136.15,103-82-2,103-82-2,commercial,HMDB0000209,HMDB0000209,999,999,CP1
291,metabolite,flavan-3-ol,epigallocatechin-3-O-gallate   ,Green tea extract; (-)-Epigallocatechin gallate,"[(2~{R},3~{R})-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2~{H}-chromen-3-yl] 3,4,5-trihydroxybenzoate","[(2~{R},3~{R})-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2~{H}-chromen-3-yl] 3,4,5-trihydroxybenzoate",WMBWREPUVVBILR-WIYYLYMNSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,458.0849114,C22H18O11,C22H18O11,458.375,458.375,989-51-5,989-51-5,commercial,HMDB0003153,HMDB0003153,65064,65064,CP1
70,metabolite,benzaldehyde,3-methoxybenzaldehyde   ,M-ANISALDEHYDE; 3-Anisaldehyde; M-Methoxybenzaldehyde,3-methoxybenzaldehyde,3-methoxybenzaldehyde,WMPDAIZRQDCGFH-UHFFFAOYSA-N,WMPDAIZRQDCGFH-UHFFFAOYSA-N,136.0524295,C8H8O2,C8H8O2,136.15,136.15,591-31-1,591-31-1,commercial,HMDB0031459,HMDB0031459,11569,11569,CP1
40,Estradiol Metabolites,Estradiol Metabolites,16-alpha hydroxyestrone ,16a-Hydroxyestrone,"(8R,9S,13S,14S,16R)-3,16-dihydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one ","(8R,9S,13S,14S,16R)-3,16-dihydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one ",WPOCIZJTELRQMF-QFXBJFAPSA-N,WPOCIZJTELRQMF-QFXBJFAPSA-N,286.156895,C18H22O3,C18H22O3,286.4,286.4,566-76-7,566-76-7,Not Established,HMDB0000335,HMDB0000335,115116 ,115116 ,CP2
155,metabolite,benzoic acid,benzoic acid   ,Benzenecarboxylic Acid,benzoic acid,benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,WPYMKLBDIGXBTP-UHFFFAOYSA-N,122.0367794,C7H6O2,C7H6O2,122.12,122.12,65-85-0,65-85-0,commercial,HMDB0001870,HMDB0001870,243,243,CP1
78,metabolite,benzene,"1,2,3-trihydroxybenzene   ",Pyrogallol,"benzene-1,2,3-triol","benzene-1,2,3-triol",WQGWDDDVZFFDIG-UHFFFAOYSA-N,WQGWDDDVZFFDIG-UHFFFAOYSA-N,126.0316941,C6H6O3,C6H6O3,126.11,126.11,87-66-1,87-66-1,commercial,HMDB0013674,HMDB0013674,1057,1057,CP1
223,Metabolite,benzoic acid metabolites,4-methoxybenzoic acid-3-O-glucuronide,Isovanillic acid-3-O-glucuronide,"6-(5-carboxy-2-methoxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid","6-(5-carboxy-2-methoxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",WREVRVHLTSYMIJ-UHFFFAOYSA-N,WREVRVHLTSYMIJ-UHFFFAOYSA-N,344.0743467,C14H16O10,C14H16O10,344.27,344.27,No CAS,No CAS,Commercial,HMDB0140927,HMDB0140927,131839508,131839508,CP03
267,Metabolite,Gossypetin metabolites,Gossypetin-3-O-glucuronide,Gossypetin 3-glucuronide,"(2S,3S,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7,8-trihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7,8-trihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",WSYAMFPDJDZYOA-NMHLOZFWSA-N,WSYAMFPDJDZYOA-NMHLOZFWSA-N,494.069655,C21H18O14,C21H18O14,494.4,494.4,No CAS,No CAS,Commercial,N/A,N/A,44259994,44259994,CP03
